Categories,Article Title,Word Count,URL,Content
Preparing Your Order,I didn't change my email address but just got notified that my Log in was changed.,128,https://support.discmakers.com/hc/en-us/articles/360042644954-I-didn-t-change-my-email-address-but-just-got-notified-that-my-Log-in-was-changed-,"Anytime a change is made to your log in information, we send a notification via email to the new address and to the old one for security purposes. There are times where we, internally, need to update due to typos or old log ins being present. If you're not concerned about it, you can ignore the email. If you are concerned, please let us know and we can investigate it further. Your privacy is our number one concern!  This is how the email will read: > The email address for your account was recently changed. > We take your security and privacy very seriously. If this action was > not taken by you or was not intended, please email us immediately, or > call us  >  > Sincerely,"
Preparing Your Order,What if I forgot My Log in or password?,96,https://support.discmakers.com/hc/en-us/articles/360041430114-What-if-I-forgot-My-Log-in-or-password-,"If you forgot your password or log in, you can reset it on the log in page (My Account) by clicking the ""forgot my password"" or forgotton username button. It will email you over a new, temporary password that you can change at any time. This link will expire in 30 minutes but could take up to 10 minutes to be delivered to your email box. If you just want to change your password, log into My Account. On the left side of the dashboard, you'll find a section titled ""manage account"". Click on 'change password'. "
Preparing Your Order,Does my quote have an expiration date?,87,https://support.discmakers.com/hc/en-us/articles/360042831733-Does-my-quote-have-an-expiration-date-,"Yes. Quotes expire 90 days after they have been created. While we make every effort to notify you prior to a quote expiring, it is also listed in My Account.  If you need additional time to complete your project, please give us a call or shoot us an email and we can extend it for you. Please note that if your quote expires, any uploads will be deleted. Extending a quote does not guarantee the pricing. Pricing will be updated to the current pricing for your project."
Preparing Your Order,Extended Production Turn or Economy Production Times,106,https://support.discmakers.com/hc/en-us/articles/360041814973-Extended-Production-Turn-or-Economy-Production-Times,"Because you selected a longer production time your order has a line item titled  'Economy' or 'Extended Turn' production schedule. By selecting the Extended Turn option for your production time, your order is manufactured in approximately 10-15 business days at a significantly discounted rate. Please note that during high capacity times in our production department, orders can take longer to ship than the initially quoted ship date. Extended Turn orders do not have a guaranteed delivery date. If there is a specific date or deadline for your order, we recommend upgrading to a Standard or Priority production time to ensure you receive your product when needed."
Preparing Your Order,What happened to my project?,129,https://support.discmakers.com/hc/en-us/articles/360015770194-What-happened-to-my-project-,"When you log into My Account, you'll notice that there is an expiration date on every saved quote. (It's usually 90 days). At the end of that period of time, we inactive the quote and remove it from My Account to save storage on our server. Should you need additional time to complete your order, either email us or give us a call and we can extend the expiration to something more in line with your project deadline. Once the quote has been inactivated, anything that may have been uploaded will also be removed and we will not be able to restore it for you. Any images that you uploaded using the Design online option will remain in your image library but the text layers will not be saved."
Preparing Your Order,How can I edit/change my saved quote?,89,https://support.discmakers.com/hc/en-us/articles/360015801033-How-can-I-edit-change-my-saved-quote-,"If you wish to change anything about your quote ""prior"" to submitting the order: Log into My Account Click on ""Continue Project"" On the left side of the dashboard, click on Edit Project You'll walk through the online quoting tool and make the changes that you wish to make Resave the quote (*Note - You can change your production time and shipping modes as well as adding or removing any of the packaging options or services. You can rename your project just before resaving it if you wish to!). "
Preparing Your Order,How do I get started? I'm new to this.,144,https://support.discmakers.com/hc/en-us/articles/360001978527-How-do-I-get-started-I-m-new-to-this-,"Online: (If you have not registered on our site yet, you will need to do so before your project is actually saved. You can set that up here) - https://www.discmakers.com/MyAccount/login.aspx Create and save a quote using our online quoting system by making your selections at each subway stop.  (https://www.discmakers.com/quoter/default.aspx) You will notice as you go along, the price and other details change in the summary on the right side.  If you need to print this quote, click the button to the right of 'Quote' and you can print from the pop up. Name your project and save it! Give us a Call! We'll create an online My Account for you and will connect you with a knowledgeable product specialist who can help to customize your quote according to your needs and specifications. Call 856-663-9030 and one of our Support Agents will get you started!  "
Preparing Your Order,1. Share Your Audio Master to Prepare Your Order with Disc Makers,154,https://support.discmakers.com/hc/en-us/articles/209043897-1-Share-Your-Audio-Master-to-Prepare-Your-Order-with-Disc-Makers-,"Doing it yourself? Read this:Make sure your master sounds or functions exactly the way you want it to before sending it to us. The finished discs you get back from us will be an exact match of the master you send to us (unless you’re also ordering post production or authoring). To view information about preparing your master (including formats and technical information) click here. Instead of mailing in your audio master, you can upload the content to us. You can upload your content here,         (*Note: there is a nominal handling fee for using this option and should be set up on your quote prior to uploading). or through the project center located in My account.  (No charge)  Need professional mastering from The SoundLAB?If you have ordered Mastering from the SoundLAB at Disc Makers, please download and fill out the SoundLAB Engineering questionnaire, to help our engineers get the most out of your master.  "
Preparing Your Order,2. Your Design Files,353,https://support.discmakers.com/hc/en-us/articles/209044117-2-Your-Design-Files,"If you’re providing complete graphics in a Disc Makers template, take a moment to check out our tips to achieve the best results here. If you will supply your graphics files on a CD-R or thumb drive, please be sure to enclose a physical printout of what the design will look like. - *Note: You must first select the Advanced Graphic Design Services in the project center before selecting this option. We also provide an online design option, which you can access after saving your project quote. Create and customize great-looking package artwork with our easy-to-use our Online Designer. We’ll help you add background color, text, and images to create a ready-to-print proof. It’s that fast and easy! Need professional Design Services from the Design Studio?If Disc Makers’ Design Studio is doing the design, be sure to enclose a Design Information Form, photos, transparencies, images, and include your text on disc (if possible). Including additional design guidelines, instructions, or examples of other designs you like will also be helpful. Option 1: Upload OnlineYou can upload your art files in My Account. Log in to get started. Option 2: Mail in (or email)     (*Note: there is a nominal handling fee for using this option and should be set up on your quote prior to mailing it in).Please make sure your art master is labeled with your name and contact information. Be sure to include your return address and phone number on the package. We recommend using UPS, FedEx, or any courier that lets you track your shipment. Don’t waste your money on Saturday delivery! We’re not here. Packages delivered on Saturday get processed at the same time as those that arrive on Monday. Please send to:Disc MakersAttention: (Quote # or Sales Order #) 7905 N. Crescent Blvd. Pennsauken, NJ 08110-1402NOTE: Always keep a backup of any master or artwork you submit, in case your materials are lost or damaged. (Even the best-packaged materials can be damaged in shipping.) Disc Makers is not responsible for masters or original art. Mailing or emailing your artwork may incur additional charges to set up your files for you. "
Preparing Your Order,My order is showing CD-Rs but I want CDs. What do I need to do?,120,https://support.discmakers.com/hc/en-us/articles/209240008-My-order-is-showing-CD-Rs-but-I-want-CDs-What-do-I-need-to-do-,"Orders with quantities of 299 units or less are duplicated using CD-Rs. Quantities of 300 units or more are replicated using CDs. The online quoter will change the type of manufacturing based upon the quantity that you enter. The same applies to DVD-Rs and DVDs. 300 units and up will be replicated DVDs and 299 units and less will be on DVD-Rs. So, if you would like replicated CDs or DVDs you will have to order a quantity of 300 units or more, and the manufacturing method will then change to a replicated disc. Depending on which option you go with (replication vs. duplication) there are different printing methods available. For more information on this, please see Disc Print Options."
